572800
36 DATA: {'roll': '6.42', 'pitch': '0.68', 'yaw': '-100.24', 'AccX': '0.92', 'AccY': '-0.02', 'AccZ': '-0.25', 'millis': '588212'}
37 DATA: {'roll': '0.58', 'pitch': '-4.55', 'yaw': '-102.50', 'AccX': '0.99', 'AccY': '-0.11', 'AccZ': '-0.23', 'millis': '588411'}
38 DATA: {'roll': '0.88', 'pitch': '-6.67', 'yaw': '-108.17', 'AccX': '1.13', 'AccY': '-0.29', 'AccZ': '-0.23', 'millis': '588612'}
39 DATA: {'roll': '98.02', 'pitch': '36.89', 'yaw': '-12.69', 'AccX': '1.02', 'AccY': '-1.22', 'AccZ': '-0.31', 'millis': '589011'}
40 DATA: {'roll': '-0.18', 'pitch': '2.60', 'yaw': '47.14', 'AccX': '-0.52', 'AccY': '0.02', 'AccZ': '0.29', 'millis': '589261'}
41 DATA: {'roll': '-6.24', 'pitch': '-7.39', 'yaw': '52.88', 'AccX': '-0.35', 'AccY': '0.14', 'AccZ': '0.44', 'millis': '589462'}
42 DATA: {'roll': '8.42', 'pitch': '25.25', 'yaw': '38.44', 'AccX': '-0.40', 'AccY': '0.11', 'AccZ': '0.68', 'millis': '589762'}
43 DATA: {'roll': '-30.29', 'pitch': '-40.38', 'yaw': '22.75', 'AccX': '-0.93', 'AccY': '0.10', 'AccZ': '0.47', 'millis': '590012'}
44 DATA: {'roll': '-14.27', 'pitch': '0.74', 'yaw': '9.27', 'AccX': '-0.31', 'AccY': '-0.60', 'AccZ': '1.09', 'millis': '590212'}
45 DATA: {'roll': '-32.91', 'pitch': '8.95', 'yaw': '-7.57', 'AccX': '-0.19', 'AccY': '-0.19', 'AccZ': '0.47', 'millis': '590461'}
46 DATA: {'roll': '-40.90', 'pitch': '-9.74', 'yaw': '-72.81', 'AccX': '0.88', 'AccY': '-0.68', 'AccZ': '-0.39', 'millis': '888'}
47 DATA: {'roll': '40.25', 'pitch': '-7.83', 'yaw': '-77.03', 'AccX': '0.96', 'AccY': '-0.08', 'AccZ': '-0.30', 'millis': '591261'}
48 DATA: {'roll': '-4.59', 'pitch': '-8.51', 'yaw': '-80.84', 'AccX': '0.99', 'AccY': '-0.14', 'AccZ': '-0.26', 'millis': '591562'}
49 DATA: {'roll': '1.49', 'pitch': '-5.28', 'yaw': '-79.68', 'AccX': '1.12', 'AccY': '-0.35', 'AccZ': '-0.27', 'millis': '1938'}
50 DATA: {'roll': '1.49', 'pitch': '-5.28', 'yaw': '-79.68', 'AccX': '1.12', 'AccY': '-0.35', 'AccZ': '-0.27', 'millis': '1938'}
51 DATA: {'roll': '99.40', 'pitch': '33.57', 'yaw': '39.98', 'AccX': '0.24', 'AccY': '-0.50', 'AccZ': '-0.17', 'millis': '592263'}
52 DATA: {'roll': '9.67', 'pitch': '-10.19', 'yaw': '78.39', 'AccX': '-0.24', 'AccY': '0.17', 'AccZ': '0.58', 'millis': '2739'}
53 DATA: {'roll': '-19.66', 'pitch': '-3.64', 'yaw': '65.76', 'AccX': '-0.74', 'AccY': '0.05', 'AccZ': '0.54', 'millis': '3189'}
