901410
37 DATA: {'roll': '2.70', 'pitch': '21.38', 'yaw': '206.65', 'AccX': '-0.43', 'AccY': '-0.37', 'AccZ': '-0.78', 'millis': '911772'}
38 DATA: {'roll': '0.33', 'pitch': '-5.64', 'yaw': '199.32', 'AccX': '-0.17', 'AccY': '-0.94', 'AccZ': '-1.31', 'millis': '-5482'}
39 DATA: {'roll': '-26.30', 'pitch': '-86.97', 'yaw': '225.13', 'AccX': '-0.70', 'AccY': '-0.25', 'AccZ': '0.21', 'millis': '912472'}
40 DATA: {'roll': '-16.08', 'pitch': '-8.33', 'yaw': '227.46', 'AccX': '-0.53', 'AccY': '-0.05', 'AccZ': '1.26', 'millis': '912672'}
41 DATA: {'roll': '-5.90', 'pitch': '-5.15', 'yaw': '222.27', 'AccX': '-0.61', 'AccY': '-0.08', 'AccZ': '0.17', 'millis': '-4632'}
42 DATA: {'roll': '4.43', 'pitch': '-10.10', 'yaw': '205.89', 'AccX': '-1.22', 'AccY': '0.00', 'AccZ': '0.47', 'millis': '913472'}
43 DATA: {'roll': '-2.02', 'pitch': '1.45', 'yaw': '201.66', 'AccX': '-0.98', 'AccY': '-0.13', 'AccZ': '0.37', 'millis': '913672'}
44 DATA: {'roll': '1.91', 'pitch': '0.63', 'yaw': '205.48', 'AccX': '-1.35', 'AccY': '-0.13', 'AccZ': '0.51', 'millis': '913872'}
45 DATA: {'roll': '-6.81', 'pitch': '4.74', 'yaw': '190.77', 'AccX': '-0.99', 'AccY': '-0.38', 'AccZ': '0.19', 'millis': '914072'}
46 DATA: {'roll': '-11.27', 'pitch': '9.11', 'yaw': '180.39', 'AccX': '-0.11', 'AccY': '-0.13', 'AccZ': '-0.01', 'millis': '914273'}
47 DATA: {'roll': '23.27', 'pitch': '-8.19', 'yaw': '178.53', 'AccX': '-0.86', 'AccY': '-0.41', 'AccZ': '0.59', 'millis': '-3032'}
48 DATA: {'roll': '-17.39', 'pitch': '-6.72', 'yaw': '161.77', 'AccX': '-0.22', 'AccY': '-0.75', 'AccZ': '-1.24', 'millis': '915123'}
49 DATA: {'roll': '1.00', 'pitch': '-24.01', 'yaw': '172.33', 'AccX': '-0.28', 'AccY': '-0.58', 'AccZ': '-0.92', 'millis': '915322'}
50 DATA: {'roll': '-12.07', 'pitch': '-43.81', 'yaw': '180.79', 'AccX': '-0.66', 'AccY': '-0.36', 'AccZ': '-0.12', 'millis': '915522'}
51 DATA: {'roll': '-23.53', 'pitch': '-12.97', 'yaw': '178.62', 'AccX': '-0.88', 'AccY': '-0.21', 'AccZ': '0.48', 'millis': '915722'}
52 DATA: {'roll': '8.72', 'pitch': '-12.59', 'yaw': '180.27', 'AccX': '-0.72', 'AccY': '0.11', 'AccZ': '0.23', 'millis': '915973'}
53 DATA: {'roll': '8.47', 'pitch': '-7.48', 'yaw': '184.03', 'AccX': '-0.66', 'AccY': '-0.03', 'AccZ': '0.18', 'millis': '916222'}
54 DATA: {'roll': '-3.08', 'pitch': '-2.02', 'yaw': '176.52', 'AccX': '-1.24', 'AccY': '-0.25', 'AccZ': '0.47', 'millis': '916422'}
55 DATA: {'roll': '1.28', 'pitch': '-0.75', 'yaw': '172.71', 'AccX': '-1.10', 'AccY': '-0.17', 'AccZ': '0.46', 'millis': '916622'}
56 DATA: {'roll': '-0.46', 'pitch': '-0.12', 'yaw': '168.83', 'AccX': '-1.01', 'AccY': '-0.17', 'AccZ': '0.36', 'millis': '916872'}
57 DATA: {'roll': '4.14', 'pitch': '2.80', 'yaw': '178.75', 'AccX': '-1.32', 'AccY': '-0.08', 'AccZ': '0.41', 'millis': '917072'}
58 DATA: {'roll': '3.94', 'pitch': '2.76', 'yaw': '170.99', 'AccX': '-1.06', 'AccY': '-0.10', 'AccZ': '0.26', 'millis': '917272'}
59 DATA: {'roll': '0.41', 'pitch': '-0.85', 'yaw': '165.20', 'AccX': '-0.69', 'AccY': '-0.45', 'AccZ': '0.12', 'millis': '917622'}
60 DATA: {'roll': '1.90', 'pitch': '18.38', 'yaw': '166.09', 'AccX': '-0.74', 'AccY': '-0.37', 'AccZ': '0.65', 'millis': '917822'}
