736155
37 DATA: {'roll': '7.98', 'pitch': '-7.59', 'yaw': '119.83', 'AccX': '-0.85', 'AccY': '0.11', 'AccZ': '0.95', 'millis': '752917'}
38 DATA: {'roll': '0.15', 'pitch': '-2.63', 'yaw': '114.93', 'AccX': '-0.42', 'AccY': '-0.03', 'AccZ': '0.85', 'millis': '753267'}
39 DATA: {'roll': '-31.70', 'pitch': '-4.43', 'yaw': '118.33', 'AccX': '-0.40', 'AccY': '0.05', 'AccZ': '0.59', 'millis': '753467'}
40 DATA: {'roll': '-48.33', 'pitch': '13.90', 'yaw': '104.20', 'AccX': '-0.17', 'AccY': '-0.65', 'AccZ': '0.24', 'millis': '-32764'}
41 DATA: {'roll': '-30.66', 'pitch': '30.99', 'yaw': '78.80', 'AccX': '0.16', 'AccY': '-0.60', 'AccZ': '-1.31', 'millis': '754216'}
42 DATA: {'roll': '6.18', 'pitch': '-17.79', 'yaw': '85.32', 'AccX': '1.17', 'AccY': '-0.20', 'AccZ': '-0.76', 'millis': '754467'}
43 DATA: {'roll': '-3.51', 'pitch': '-2.55', 'yaw': '73.15', 'AccX': '0.64', 'AccY': '-0.22', 'AccZ': '-0.77', 'millis': '754667'}
44 DATA: {'roll': '-9.67', 'pitch': '-1.48', 'yaw': '68.38', 'AccX': '-0.22', 'AccY': '-0.89', 'AccZ': '-1.13', 'millis': '-31565'}
45 DATA: {'roll': '-0.47', 'pitch': '21.80', 'yaw': '30.62', 'AccX': '0.36', 'AccY': '-0.36', 'AccZ': '-0.90', 'millis': '755418'}
46 DATA: {'roll': '3.30', 'pitch': '-6.27', 'yaw': '30.07', 'AccX': '0.41', 'AccY': '-0.34', 'AccZ': '-0.86', 'millis': '-30815'}
47 DATA: {'roll': '110.23', 'pitch': '-15.64', 'yaw': '87.67', 'AccX': '0.45', 'AccY': '-1.27', 'AccZ': '-0.46', 'millis': '756067'}
48 DATA: {'roll': '48.07', 'pitch': '8.53', 'yaw': '105.17', 'AccX': '0.09', 'AccY': '-0.44', 'AccZ': '0.34', 'millis': '756268'}
49 DATA: {'roll': '5.71', 'pitch': '-1.85', 'yaw': '107.56', 'AccX': '-0.45', 'AccY': '0.11', 'AccZ': '0.73', 'millis': '756568'}
50 DATA: {'roll': '-0.74', 'pitch': '-4.24', 'yaw': '102.42', 'AccX': '-0.95', 'AccY': '0.35', 'AccZ': '0.78', 'millis': '756767'}
51 DATA: {'roll': '1.65', 'pitch': '7.38', 'yaw': '104.17', 'AccX': '0.09', 'AccY': '-0.36', 'AccZ': '0.88', 'millis': '757067'}
52 DATA: {'roll': '-2.78', 'pitch': '-6.46', 'yaw': '105.77', 'AccX': '-0.97', 'AccY': '0.14', 'AccZ': '1.09', 'millis': '757317'}
53 DATA: {'roll': '-7.53', 'pitch': '-2.64', 'yaw': '106.08', 'AccX': '0.37', 'AccY': '-0.31', 'AccZ': '0.98', 'millis': '757667'}
54 DATA: {'roll': '2.88', 'pitch': '-0.17', 'yaw': '109.81', 'AccX': '-0.62', 'AccY': '0.01', 'AccZ': '0.98', 'millis': '757917'}
55 DATA: {'roll': '2.91', 'pitch': '-1.87', 'yaw': '103.61', 'AccX': '-0.30', 'AccY': '-0.08', 'AccZ': '0.89', 'millis': '-28315'}
56 DATA: {'roll': '74.99', 'pitch': '-76.31', 'yaw': '18.59', 'AccX': '0.68', 'AccY': '-0.07', 'AccZ': '-0.76', 'millis': '-26316'}
57 DATA: {'roll': '21.13', 'pitch': '-8.88', 'yaw': '25.31', 'AccX': '0.50', 'AccY': '-0.51', 'AccZ': '-0.90', 'millis': '-25665'}
58 DATA: {'roll': '63.62', 'pitch': '30.46', 'yaw': '48.26', 'AccX': '-0.17', 'AccY': '-0.22', 'AccZ': '0.66', 'millis': '761267'}
59 DATA: {'roll': '4.51', 'pitch': '-1.71', 'yaw': '48.40', 'AccX': '-0.45', 'AccY': '0.17', 'AccZ': '0.62', 'millis': '-24914'}
60 DATA: {'roll': '-29.74', 'pitch': '-12.25', 'yaw': '76.17', 'AccX': '-0.39', 'AccY': '0.10', 'AccZ': '0.86', 'millis': '762217'}
61 DATA: {'roll': '-0.94', 'pitch': '-3.32', 'yaw': '72.59', 'AccX': '-0.88', 'AccY': '0.28', 'AccZ': '1.10', 'millis': '762417'}
62 DATA: {'roll': '2.27', 'pitch': '-7.66', 'yaw': '60.99', 'AccX': '-0.01', 'AccY': '-0.17', 'AccZ': '0.83', 'millis': '762668'}
63 DATA: {'roll': '-2.02', 'pitch': '-6.04', 'yaw': '72.16', 'AccX': '-0.72', 'AccY': '0.13', 'AccZ': '1.02', 'millis': '763018'}
64 DATA: {'roll': '1.52', 'pitch': '-0.96', 'yaw': '67.70', 'AccX': '-0.31', 'AccY': '0.01', 'AccZ': '0.91', 'millis': '763217'}
65 DATA: {'roll': '0.89', 'pitch': '-2.25', 'yaw': '64.96', 'AccX': '-0.38', 'AccY': '0.01', 'AccZ': '0.92', 'millis': '763417'}
66 DATA: {'roll': '-27.25', 'pitch': '-1.60', 'yaw': '63.06', 'AccX': '-0.37', 'AccY': '-0.02', 'AccZ': '0.60', 'millis': '763617'}
67 DATA: {'roll': '-60.29', 'pitch': '2.11', 'yaw': '23.89', 'AccX': '0.00', 'AccY': '-0.74', 'AccZ': '0.16', 'millis': '763868'}
68 DATA: {'roll': '-47.69', 'pitch': '14.97', 'yaw': '7.86', 'AccX': '0.46', 'AccY': '-0.66', 'AccZ': '-1.13', 'millis': '764118'}
69 DATA: {'roll': '-7.12', 'pitch': '-18.84', 'yaw': '34.79', 'AccX': '0.50', 'AccY': '-0.26', 'AccZ': '-0.67', 'millis': '764517'}
70 DATA: {'roll': '3.44', 'pitch': '-19.05', 'yaw': '27.66', 'AccX': '0.72', 'AccY': '-0.17', 'AccZ': '-0.62', 'millis': '764718'}
71 DATA: {'roll': '-9.46', 'pitch': '12.49', 'yaw': '9.40', 'AccX': '-0.14', 'AccY': '-0.75', 'AccZ': '-1.18', 'millis': '764967'}
72 DATA: {'roll': '-4.89', 'pitch': '-10.15', 'yaw': '21.92', 'AccX': '0.59', 'AccY': '-0.36', 'AccZ': '-0.69', 'millis': '765167'}
73 DATA: {'roll': '6.30', 'pitch': '-14.76', 'yaw': '16.13', 'AccX': '0.64', 'AccY': '-0.18', 'AccZ': '-0.65', 'millis': '765368'}
74 DATA: {'roll': '-8.53', 'pitch': '7.93', 'yaw': '8.19', 'AccX': '0.28', 'AccY': '-0.55', 'AccZ': '-1.00', 'millis': '-20764'}
75 DATA: {'roll': '41.20', 'pitch': '4.08', 'yaw': '38.50', 'AccX': '-0.41', 'AccY': '0.01', 'AccZ': '0.67', 'millis': '766667'}
76 DATA: {'roll': '4.72', 'pitch': '-0.89', 'yaw': '32.71', 'AccX': '-1.02', 'AccY': '0.34', 'AccZ': '0.69', 'millis': '766868'}
77 DATA: {'roll': '-0.90', 'pitch': '-13.04', 'yaw': '27.71', 'AccX': '0.39', 'AccY': '-0.28', 'AccZ': '1.11', 'millis': '767117'}
78 DATA: {'roll': '0.01', 'pitch': '-2.19', 'yaw': '40.15', 'AccX': '-0.83', 'AccY': '0.21', 'AccZ': '0.95', 'millis': '767368'}
79 DATA: {'roll': '-0.48', 'pitch': '-12.42', 'yaw': '24.06', 'AccX': '0.01', 'AccY': '-0.19', 'AccZ': '0.89', 'millis': '767668'}
80 DATA: {'roll': '-4.17', 'pitch': '0.82', 'yaw': '34.07', 'AccX': '-0.30', 'AccY': '0.02', 'AccZ': '0.85', 'millis': '-18565'}
81 DATA: {'roll': '-149.76', 'pitch': '-19.98', 'yaw': '35.84', 'AccX': '-0.34', 'AccY': '-0.14', 'AccZ': '0.61', 'millis': '768518'}
82 DATA: {'roll': '-48.50', 'pitch': '-5.99', 'yaw': '11.73', 'AccX': '-0.10', 'AccY': '-0.49', 'AccZ': '0.21', 'millis': '-17714'}
83 DATA: {'roll': '35.74', 'pitch': '-63.54', 'yaw': '55.21', 'AccX': '0.41', 'AccY': '-0.26', 'AccZ': '-0.79', 'millis': '769418'}
84 DATA: {'roll': '19.69', 'pitch': '-14.03', 'yaw': '44.16', 'AccX': '0.79', 'AccY': '-0.13', 'AccZ': '-0.63', 'millis': '769668'}
85 DATA: {'roll': '-10.44', 'pitch': '-15.14', 'yaw': '49.08', 'AccX': '-0.08', 'AccY': '-0.67', 'AccZ': '-1.01', 'millis': '769968'}
86 DATA: {'roll': '5.74', 'pitch': '-7.12', 'yaw': '46.75', 'AccX': '0.75', 'AccY': '-0.23', 'AccZ': '-0.84', 'millis': '770217'}
87 DATA: {'roll': '-3.21', 'pitch': '-1.20', 'yaw': '30.60', 'AccX': '0.44', 'AccY': '-0.35', 'AccZ': '-0.80', 'millis': '-16014'}
88 DATA: {'roll': '139.02', 'pitch': '-31.40', 'yaw': '96.35', 'AccX': '0.40', 'AccY': '-1.14', 'AccZ': '-0.67', 'millis': '771017'}
89 DATA: {'roll': '85.76', 'pitch': '-12.36', 'yaw': '99.15', 'AccX': '-0.34', 'AccY': '-0.16', 'AccZ': '0.51', 'millis': '771418'}
90 DATA: {'roll': '1.71', 'pitch': '-6.19', 'yaw': '98.01', 'AccX': '-0.34', 'AccY': '0.03', 'AccZ': '0.91', 'millis': '771667'}
91 DATA: {'roll': '5.74', 'pitch': '-2.87', 'yaw': '74.35', 'AccX': '-0.53', 'AccY': '-0.07', 'AccZ': '0.85', 'millis': '771968'}
92 DATA: {'roll': '-2.22', 'pitch': '-2.54', 'yaw': '82.16', 'AccX': '-0.19', 'AccY': '-0.17', 'AccZ': '0.82', 'millis': '772217'}
93 DATA: {'roll': '-1.32', 'pitch': '-11.82', 'yaw': '92.84', 'AccX': '-0.65', 'AccY': '0.27', 'AccZ': '1.06', 'millis': '-14014'}
