timestamp,position,gt_position,action,gt_action,response_time,sync,is_action_correct,is_position_correct
1602526088.0969186,1 2 3,3 2 1,hair,zigzag,49.22470283508301,1.87,False,False
1602526112.4608095,1 2 3,2 1 3,hair,rocket,23.690770626068115,1.87,False,False
1602526137.9283302,1 2 3,3 1 2,hair,hair,25.440399646759033,1.87,True,False
1602526162.373222,1 2 3,3 1 2,hair,rocket,24.40937042236328,1.87,False,False
1602526368.8340144,1 2 3,1 3 2,hair,hair,34.233750104904175,1.87,True,False
1602526393.6239371,1 2 3,1 3 2,hair,rocket,24.601744174957275,1.87,False,False
1602526418.4490216,1 2 3,2 1 3,hair,hair,24.791985034942627,1.87,True,False
1602527229.5378,1 2 3,3 1 2,hair,zigzag,29.023266553878784,1.87,False,False
1602527254.5311537,1 2 3,3 1 2,hair,rocket,24.603208541870117,1.87,False,False
1602527279.5539377,1 2 3,1 2 3,hair,zigzag,25.01711106300354,1.87,False,True
1602527304.5704584,1 2 3,2 1 3,hair,zigzag,24.997032165527344,1.87,False,False
1602527329.5941186,1 2 3,2 3 1,hair,rocket,25.018874168395996,1.87,False,False
1602527574.4544494,1 2 3,1 2 3,hair,rocket,28.922361135482788,1.87,False,True
1602527599.4800515,1 2 3,2 3 1,hair,rocket,25.000537872314453,1.87,False,False
1602527624.5040526,1 2 3,1 2 3,hair,rocket,25.014366388320923,1.87,False,True
1602527649.5250747,1 2 3,3 2 1,hair,hair,25.014150142669678,1.87,True,False
1602527674.6132042,1 2 3,3 2 1,hair,rocket,25.082711935043335,1.87,False,False
1602619711.2052944,1 2 3,1 2 3,hair,rocket,41.43787097930908,1.87,False,True
1602619736.2044592,1 2 3,2 3 1,hair,rocket,24.836374521255493,1.87,False,False
1602623093.233378,1 2 3,3 1 2,hair,hair,41.54716372489929,1.87,True,False
1602623118.2797344,1 2 3,3 2 1,hair,rocket,24.9267361164093,1.87,False,False
1602623143.2888386,1 2 3,1 3 2,hair,zigzag,25.004186630249023,1.87,False,False
1602623168.3148787,1 2 3,2 3 1,hair,rocket,25.020890712738037,1.87,False,False
1602623193.4575214,1 2 3,1 2 3,hair,zigzag,25.137816905975342,1.87,False,True
1602623218.3618042,1 2 3,2 3 1,hair,zigzag,24.889243841171265,1.87,False,False
1602623243.3842204,1 2 3,3 1 2,hair,zigzag,25.010237216949463,1.87,False,False
1602623268.406032,1 2 3,1 2 3,hair,rocket,25.01619052886963,1.87,False,True
1602623293.4332287,1 2 3,1 3 2,hair,rocket,25.01553988456726,1.87,False,False
1602623318.4818926,1 2 3,1 3 2,hair,zigzag,25.04328417778015,1.87,False,False
1602623343.4757965,1 2 3,2 1 3,hair,hair,24.946161031723022,1.87,True,False
1602623368.489887,1 2 3,1 3 2,hair,hair,25.009053945541382,1.87,True,False
1602623393.5188506,1 2 3,1 3 2,hair,hair,25.007774353027344,1.87,True,False
1603390963.3970873,None,2 3 1,None,zigzag,60.005404472351074,0,False,False
